id	supplier	material_name	composition	composition_formated	colour	width	weight	price	minimum	image_url
9241	NOOSA	B41	79% NOOSA® PLA 21% organic cotton	"[[79,""polyamide""],[21,""regenerative cotton""]]"	denim blue	184cm	390g/m²	€10.7-12.5/m	30m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9241
9240	WEAVABEL	P-WEAV448DCoffee Day Heat Transfer op3	63% water-based polyurethane (PU) 30% recycled paper cup material 7% water-based pigments	"[[63,""polyurethane""],[30,""paper""],[7,""water-based pigments""]]"	439c, 2471c	40x36.5mm	n/a	available upon request	1000pcs	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9240
9245	RE&UP TECHNOLOGIES	UGDS1620	60% recycled cotton 40% cotton	"[[60,""recycled cotton""],[40,""cotton""]]"	bd2162	175±5cm	190±5% g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9245
9244	RE&UP TECHNOLOGIES	RE&UP - UG DS1464	75% cotton 25% recycled cotton	"[[75,""cotton""],[25,""recycled cotton""]]"	br9420	180cm	165g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9244
9243	RE&UP TECHNOLOGIES	RE&UP - UG DS 1622	50% cotton 50% recycled cotton	"[[50,""cotton""],[50,""recycled cotton""]]"	cl1120	170cm	135g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9243
9239	WEAVABEL	P-WEAV446DCoffee Day Heat Transfer op1/op5	63% water-based polyurethane (PU) 30% recycled coffee grounds 7% water-based pigments	"[[63,""polyurethane""],[30,""bio-based materials""],[7,""water-based pigments""]]"	439c, 2471c	27x100mm	n/a	available upon request	1000pcs	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9239
9238	WEAVABEL	P-WEAV445NCoffee Day Canvas Bag	63% water-based polyurethane (PU) 30% recycled coffee grounds 7% water-based pigments	"[[63,""polyurethane""],[30,""bio-based materials""],[7,""water-based pigments""]]"	natural ecru cotton & contrasting cotton dyed-to-match 439c	300mm(top edge) 250mm (hight) 280mm (bottom) 280mm (base gusset)	n/a	available upon request	2000pcs	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9238
9232	NOVA KAERU | BELEAF	beLEAF™ PANEL - GREEN	88.41% plant components (Alocasia Machrorriza + cotton backing) 3%-11.59%  PU  3%-11.59% bio-based compounds	"[[88.41,""plant components""],[3,""polyurethane""],[11.59,""bio-based materials""]]"	sierra/military olive	100cm			no minimum	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9232
9231	NOVA KAERU | BELEAF	Aravê	26% plant components (Alocasia Machrorriza + cotton backing) 3%-12% PU  9% recycled fish leather   47%-62% bio-based compounds	"[[26,""plant components""],[3,""polyurethane""],[9,""recycled fish leather""],[47,""bio-based materials""],[12,""polyurethane""]]"	all pantone colors	60cm	576g	tbd (launching)	no moq	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9231
9230	NOVA KAERU | BELEAF	Pelle Verde	35% plant components (Alocasia Machrorriza + cotton backing) 3%-12% PU  53%-62% bio-based compounds	"[[35,""plant components""],[3,""polyurethane""],[12,""polyurethane""],[53,""bio-based materials""],[62,""bio-based materials""]]"	all pantone colors	60 cm	576g	tbd (launching)	no moq	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9230
9229	FLOCUS	FL-XF-HC001-320	52% cotton 28% kapok 20% lyocell	"[[52,""cotton""],[28,""kapok""],[20,""lyocell""]]"	299 - mole combo - option 2	"57/58"""	320g/m²	US$5.64	moq/moc 3000/1500m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9229
9227	FLOCUS	FL-AB-KW406090-PES	60% wool 40% kapok	"[[60,""wool""],[40,""kapok""]]"		150cm	90g/m²	US$4.2	moq/moc 1500/1500m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9227
9228	FLOCUS	FL-13-21	52% cotton 28% kapok 20% lyocell	"[[52,""cotton""],[28,""kapok""],[20,""lyocell""]]"	real teal	"58/59"""	320g/m²	US$5.64	moq/moc 3000/1500m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9228
9222	TUJIKUZE	ACT fabric	100% post-consumer recycled garments, such as denim jeans, khaki trousers and cotton trousers	"[[100,""recycled polyester""],[100,""cotton""]]"				on demand depending on final product	on demand depending on final product	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9222
9221	TUJIKUZE	Sisal	100% sisal fibre	"[[100,""sisal""]]"	off white			on demand depending on final product	on demand depending on final product	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9221
9220	TUJIKUZE	Banana Fiber	100% banana fibre	"[[100,""banana fiber""]]"	varied			on demand depending on final product	on demand depending on final product	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9220
9219	SAXCELL	SaXcell Fabric 10	50% SaXcell™ 50% cotton	"[[50,""saxcell""],[50,""cotton""]]"	light pink	30x100cm	43g/m²	US$6.80	500kg	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9219
9218	SAXCELL	SaXcell Fabric 9	50% SaXcell™ 50% cotton	"[[50,""saxcell""],[50,""cotton""]]"	gray	30x100cm	43g/m²	US$6.80	500kg	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9218
9217	SAXCELL	SaXcell Fabric 8	50% SaXcell™ 50% cotton	"[[50,""saxcell""],[50,""cotton""]]"	green	30x100cm	43g/m²	US$6.80	500kg	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9217
9202	RECYCTEX CO., LTD.	ROST 2543	100% recycled polyester	"[[100,""recycled polyester""]]"		"55"""	110g/m²		mcq/moq:1000m/3000m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9202
9191	POSITIVE MATERIALS	PM0576	85% recycled polyamide 15% elastane	"[[85,""polyamide""],[15,""elastane""]]"	bio forest light	180cm	285g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9191
9190	ONCEMORE®	Prototyp 32	58% cotton 44% OnceMore® pulp (80% certified wood 20% recycled textile waste)	"[[58,""cotton""],[44,""cellulose""],[80,""certified wood""],[20,""recycled polyester""]]"		"56/58"""	4.10z/140g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9190
9189	ONCEMORE®	Prototyp 30	56% cotton 42% OnceMore® pulp (80% certified wood 20% recycled textile waste) 2% elastane	"[[56,""cotton""],[42,""lyocell""],[2,""elastane""]]"		"54/56"""	8.80z/301g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9189
9188	ONCEMORE®	Prototyp 29	53% cotton 47% OnceMore® pulp (80% certified wood 20% recycled textile waste)	"[[53,""cotton""],[47,""cellulose""],[80,""certified wood""],[20,""recycled polyester""]]"		"56/58"""	4.30z/149g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9188
9179	OLEATEX	HER256-Bristol-16-0632	coating: 73% Olive-C™ 27% bio-pu backing: 80% cotton 20% recycled polyester	"[[73,""cotton""],[27,""bio-based polyurethane""],[80,""cotton""],[20,""recycled polyester""]]"	green	140cm	520±10%g/m²	€30.75/m	5m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9179
9177	OLEATEX	ARS205-Gama-19-1725	coating: 60% Olive-C™ 40% bio-pu backing: 65% recycled polyester 35% cotton	"[[60,""cotton""],[40,""bio-based polyurethane""],[65,""recycled polyester""],[35,""cotton""]]"	bordeaux	140cm	500±10%g/m²	€31.00/m	5m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9177
9174	OLEATEX	ZEU125-Patent Croco-0007	coating: 60% Olive-C™ 40% bio-pu backing: 65% recycled polyester 35% (cotton + viscose)	"[[60,""cotton""],[40,""bio-based polyurethane""],[65,""recycled polyester""],[35,""recycled polyester""]]"	black	140cm	500±10%g/m²	€26.50/m	5m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9174
9162	NOOSA	F1	62% NOOSA® PLA 38% cotton	"[[62,""polyamide""],[38,""cotton""]]"	navy	160cm	210g/m²	€6.42-9.86/m	1000m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9162
9161	NOOSA	C36	59% NOOSA® PLA 31% modal 10% elastane	"[[59,""polyamide""],[31,""modal""],[10,""elastane""]]"	green	120cm	400g/m²	€10.01-9.09/m	1000m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9161
9155	MUEHLMEIER	Wool & Hemp Removable BraCup (C0011801)	50% recycled wool 35% pet 15% recycled pet cover fabric: 100% hemp/lyocell	"[[50,""recycled wool""],[35,""pet""],[15,""recycled polyester""]]"				price on request	900pairs	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9155
9154	MUEHLMEIER	100 % recycled PES BraCup (C0051204)	"100% recycled polyester fibre cup ""white & p.u.r.e."" (free of foam grs certified, oeko-tex standard 100)"	"[[100,""recycled polyester""]]"				price on request	8500pairs	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9154
9153	MUEHLMEIER	90 % recycled SPACER BraCup (C0030141)	90% recycled polyester 10% elastane	"[[90,""recycled polyester""],[10,""elastane""]]"				price on request	3500pairs	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9153
9152	LINK SPIDER CO.,LTD. SHENZHEN	LINKCell®-Beige woven fabric	100% LINKCell® (10% spider silk protein 90% cellulose fibre)	"[[10,""spider silk protein""],[90,""cellulose""]]"	uncolored	"65"""	110g/m²	€10-12/m	50m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9152
9151	LINK SPIDER CO.,LTD. SHENZHEN	LINKCell®-Beige Pique	90% LINKCell® (10% spider silk protein 90% cellulose fibre) 11% spandex	"[[90,""lyocell""],[10,""spider silk protein""],[90,""cellulose""],[11,""spandex""]]"	uncolored	"65"""	160g/m²	€10-12/m	50m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9151
9150	LINK SPIDER CO.,LTD. SHENZHEN	LINKCell®-Pink Single Jacquard	63% LINKCell® (10% spider silk protein 90% cellulose fibre) 22% nylon 15% spandex	"[[63,""lyocell""],[10,""spider silk protein""],[90,""cellulose""],[22,""nylon""],[15,""spandex""]]"	piece dyed	"54"""	160g/m²	€10-12/m	50m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9150
9145	LAMPO BY DITTA GIOVANNI LANFRANCHI S.P.A.	Superlampo T8 Tank Mixed Tape Shiny Dark Gold ECO	tape: 60% polyester 40% linen chain: 100% recycled brass galvanic finishing slider: 100% zamac puller: zamac with beech wood	"[[60,""polyester""],[40,""linen""]]"	no colour card	chain width 8mm		€26.74/m* *components excluded	50 pieces* *components excluded	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9145
9144	LAMPO BY DITTA GIOVANNI LANFRANCHI S.P.A.	Superlampo T8 Tank Mixed Tape Antique Brass ECO	tape: 60% polyester 40% linen chain: 100% recycled brass galvanic finishing slider: 100% zamac puller: zamac with leather tab	"[[60,""polyester""],[40,""linen""]]"	no colour card	chain width 8mm		€14.74/m* *components excluded	50 pieces* *components excluded	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/9144
