product_id	product_name	company_name	company_country	company_type	facility_name	facility_country	facility_lat	facility_lng	facility_processes	composition	categories	certificates	characteristics	image
000001	Soft Touch Fleece Blanket	Loom & Leaf Co.	United Kingdom	Supplier	Loom & Leaf Co. Facility 1	United Kingdom	39,4716	23,6831	[Stitching / Sewing, Heat Setting, Washing / Scouring, Brushing / Raising]	"[[""Cotton"",100]]"	[Hemp]	[CmiA (Cotton made in Africa)]		https://example.com/demo-image.jpg
000002	Natural Fiber Scarf Wrap	EcoThreads	Spain	Supplier	EcoThreads Facility 1	Spain	37,1789	29,2145	[Brushing / Raising, Stitching / Sewing]	"[[""Bamboo Fiber"",34],[""Cotton"",33],[""Silk"",33]]"	[Berets]	[RDS (Responsible Down Standard)]		https://example.com/demo-image.jpg
000003	Handloomed Woolen Shawl	Mariner Textiles	Portugal	Supplier	Mariner Textiles Facility 1	Portugal	48,7658	20,9422	[Twisting & Winding, Mercerization]	"[[""Cotton"",34],[""Organic Cotton"",33],[""Synthetic Leather (PU Leather)"",33]]"	[Sheath Dresses]	[Higg Product Module (Higg MSI), EU Ecolabel for Textiles, RCS (Recycled Claim Standard)]		https://example.com/demo-image.jpg
000004	Recycled Cotton Tote Bag	Summit Mills	Sweden	Supplier	Summit Mills Facility 1	Sweden	37,9433	23,3396	[Bleaching, Quality Control & Inspection]	"[[""Polyester"",34],[""Silk"",33],[""Recycled Nylon"",33]]"	[Stretch Belts]	[OEKO-TEX STeP]		https://example.com/demo-image.jpg
000005	Merino Wool Socks Set	GreenSpun Fabrics	Netherlands	Supplier	GreenSpun Fabrics Facility 1	Netherlands	53,5321	19,9797	[Washing / Scouring, Fiber Preparation, Weaving]	"[[""Polypropylene"",50],[""Nylon"",50]]"	[Sandals]	[BCI (Better Cotton Initiative)]		https://example.com/demo-image.jpg
000006	Bamboo Rayon Kimono Dress	Urban Stitch	Canada	Supplier	Urban Stitch Facility 1	Canada	54,602	-6,8735	[Brushing / Raising, Nonwoven Formation]	"[[""Jute"",50],[""Ramie"",50]]"	[Cycling Jerseys]	[RCS (Recycled Claim Standard), RWS (Responsible Wool Standard)]		https://example.com/demo-image.jpg
000007	Organic Linen Tablecloth	Summit Mills	Sweden	Supplier	Summit Mills Facility 2	Sweden	50,7404	24,107	[Washing / Scouring]	"[[""Cotton"",34],[""Polypropylene"",33],[""Organic Cotton"",33]]"	[Compression Tops]	[Fairtrade Textile Standard, OEKO-TEX Standard 100]		https://example.com/demo-image.jpg
000008	Eco Friendly Yoga Mat	Summit Mills	Sweden	Supplier	Summit Mills Facility 3	Sweden	47,8322	7,145	[Dyeing, Nonwoven Formation, Knitting, Mercerization]	"[[""Recycled Nylon"",34],[""Jute"",33],[""Cashmere"",33]]"	[Dress Shirts]	[OEKO-TEX Made in Green, Higg Product Module (Higg MSI)]		https://example.com/demo-image.jpg
000009	Faux Fur Throw Blanket	Loom & Leaf Co.	United Kingdom	Supplier	Loom & Leaf Co. Facility 2	United Kingdom	57,7014	15,0913	[Brushing / Raising, Nonwoven Formation, Stitching / Sewing, Warping]	"[[""Polypropylene"",34],[""Recycled Polyester"",33],[""Cotton"",33]]"	[Stockings]	[ZDHC MRSL Compliance]		https://example.com/demo-image.jpg
000010	Cotton Twill Work Shirt	EcoThreads	Spain	Supplier	EcoThreads Facility 2	Spain	56,945	26,8897	[Weaving]	"[[""Organic Cotton"",50],[""Viscose"",50]]"	[Ski Pants]	[OCS (Organic Content Standard)]		https://example.com/demo-image.jpg
000011	Silk Blend Scarf Wrap	GreenSpun Fabrics	Netherlands	Supplier	GreenSpun Fabrics Facility 1	Netherlands	53,5321	19,9797	[Washing / Scouring, Fiber Preparation, Weaving]	"[[""Recycled Nylon"",50],[""Lyocell (TENCEL)"",50]]"	[Crossbody Bags]	[RCS (Recycled Claim Standard), RWS (Responsible Wool Standard)]		https://example.com/demo-image.jpg
000012	Recycled Denim Jacket	Loom & Leaf Co.	United Kingdom	Supplier	Loom & Leaf Co. Facility 1	United Kingdom	39,4716	23,6831	[Stitching / Sewing, Heat Setting, Washing / Scouring, Brushing / Raising]	"[[""Cotton"",34],[""Polyurethane"",33],[""Organic Cotton"",33]]"	[Tote Bags]	[RMS (Responsible Mohair Standard), GRS (Global Recycled Standard), BCI (Better Cotton Initiative)]		https://example.com/demo-image.jpg
000013	Merino Wool Beanie Hat	GreenSpun Fabrics	Netherlands	Supplier	GreenSpun Fabrics Facility 2	Netherlands	50,7905	29,0179	[Nonwoven Formation, Warping, Printing, Knitting]	"[[""Leather"",100]]"	[Velvet]	[GOTS (Global Organic Textile Standard)]		https://example.com/demo-image.jpg
000014	Bamboo Socks Set	GreenSpun Fabrics	Netherlands	Supplier	GreenSpun Fabrics Facility 1	Netherlands	53,5321	19,9797	[Washing / Scouring, Fiber Preparation, Weaving]	"[[""Wool"",34],[""Alpaca"",33],[""Cotton"",33]]"	[Plus Bottoms]	[GOTS (Global Organic Textile Standard), OCS (Organic Content Standard)]		https://example.com/demo-image.jpg
000015	Handmade Quilted Bedding	Loom & Leaf Co.	United Kingdom	Supplier	Loom & Leaf Co. Facility 3	United Kingdom	41,1633	6,9818	[Heat Setting, Bleaching]	"[[""Recycled Cotton"",50],[""Linen (Flax)"",50]]"	[Coats]	[Fairtrade Textile Standard]		https://example.com/demo-image.jpg
000016	Natural Dye T-Shirt	WeaveWorks	United States	Supplier	WeaveWorks Facility 1	United States	57,8581	24,3338	[Mercerization, Weaving]	"[[""Cotton"",50],[""Silk"",50]]"	[Sweaters]	[OCS (Organic Content Standard), RCS (Recycled Claim Standard)]		https://example.com/demo-image.jpg
000017	Organic Cotton Sheets	WeaveWorks	United States	Supplier	WeaveWorks Facility 2	United States	39,6236	8,334	[Cutting, Carding]	"[[""Cotton"",50],[""Organic Cotton"",50]]"	[Linen]	[RDS (Responsible Down Standard), OEKO-TEX Made in Green, OEKO-TEX Standard 100]		https://example.com/demo-image.jpg
000018	Faux Leather Bag	GreenSpun Fabrics	Netherlands	Supplier	GreenSpun Fabrics Facility 1	Netherlands	53,5321	19,9797	[Washing / Scouring, Fiber Preparation, Weaving]	"[[""Mohair"",50],[""Merino Wool"",50]]"	[Maternity Jeans]	[RCS (Recycled Claim Standard), OEKO-TEX Made in Green, OEKO-TEX STeP]		https://example.com/demo-image.jpg
000019	Soft Brushed Fleece Hoodie	Heritage Textiles	Italy	Supplier	Heritage Textiles Facility 1	Italy	54,2265	24,7713	[Combing]	"[[""Synthetic Leather (PU Leather)"",34],[""Leather"",33],[""Alpaca"",33]]"	[Terrycloth]	[RMS (Responsible Mohair Standard), bluesign Approved, OEKO-TEX Made in Green]		https://example.com/demo-image.jpg
000020	Recycled Polyester Jacket	GreenSpun Fabrics	Netherlands	Supplier	GreenSpun Fabrics Facility 1	Netherlands	53,5321	19,9797	[Washing / Scouring, Fiber Preparation, Weaving]	"[[""Wool"",50],[""Ramie"",50]]"	[Footwear]	[RCS (Recycled Claim Standard), Fairtrade Cotton, OEKO-TEX STeP]		https://example.com/demo-image.jpg
000021	Merino Wool Sweater	Skyline Weavers	Germany	Supplier	Skyline Weavers Facility 1	Germany	49,0419	-3,9234	[Warping, Spinning, Carding]	"[[""Hemp"",100]]"	[Compression Tops]	[GOTS (Global Organic Textile Standard), bluesign Approved, BCI (Better Cotton Initiative)]		https://example.com/demo-image.jpg
000022	Eco Friendly Towel Set	Loom & Leaf Co.	United Kingdom	Supplier	Loom & Leaf Co. Facility 2	United Kingdom	57,7014	15,0913	[Brushing / Raising, Nonwoven Formation, Stitching / Sewing, Warping]	"[[""Cotton"",34],[""Viscose"",33],[""Synthetic Leather (PU Leather)"",33]]"	[Velvet]	[GRS (Global Recycled Standard), RMS (Responsible Mohair Standard)]		https://example.com/demo-image.jpg
000023	Bamboo Rayon Scarf Wrap	Skyline Weavers	Germany	Supplier	Skyline Weavers Facility 1	Germany	49,0419	-3,9234	[Warping, Spinning, Carding]	"[[""Elastane (Spandex)"",50],[""Mohair"",50]]"	[Gym Bags]	[EU Ecolabel for Textiles, GOTS (Global Organic Textile Standard)]		https://example.com/demo-image.jpg
000024	Handloomed Cotton Sari	Mariner Textiles	Portugal	Supplier	Mariner Textiles Facility 2	Portugal	37,4218	6,3247	[Heat Setting, Bleaching]	"[[""Hemp"",100]]"	[Rayon]	[RWS (Responsible Wool Standard), Fairtrade Cotton, EU Ecolabel for Textiles]		https://example.com/demo-image.jpg
000025	Organic Linen Pants	WeaveWorks	United States	Supplier	WeaveWorks Facility 2	United States	39,6236	8,334	[Cutting, Carding]	"[[""Polyurethane"",50],[""Recycled Nylon"",50]]"	[Drawstring Bags]	[RDS (Responsible Down Standard), OCS (Organic Content Standard), ZDHC MRSL Compliance]		https://example.com/demo-image.jpg
000026	Natural Fiber Rug	Riverstone Looms	France	Supplier	Riverstone Looms Facility 1	France	52,4909	22,1962	[Bleaching, Warping, Printing]	"[[""Polyurethane"",34],[""Cotton"",33],[""Acetate"",33]]"	[Corduroy]	[OEKO-TEX Made in Green]		https://example.com/demo-image.jpg
000027	Silk Blend Pillowcase	Riverstone Looms	France	Supplier	Riverstone Looms Facility 1	France	52,4909	22,1962	[Bleaching, Warping, Printing]	"[[""Cashmere"",34],[""Cupro"",33],[""Synthetic Leather (PU Leather)"",33]]"	[Silk]	[RCS (Recycled Claim Standard), Higg Product Module (Higg MSI), RMS (Responsible Mohair Standard)]		https://example.com/demo-image.jpg
000028	Faux Fur Coat	Urban Stitch	Canada	Supplier	Urban Stitch Facility 1	Canada	54,602	-6,8735	[Brushing / Raising, Nonwoven Formation]	"[[""Recycled Nylon"",100]]"	[Sports Tops]	[GOTS (Global Organic Textile Standard), bluesign Approved, Nordic Swan Ecolabel]		https://example.com/demo-image.jpg
000029	Recycled Denim Shorts	Mariner Textiles	Portugal	Supplier	Mariner Textiles Facility 2	Portugal	37,4218	6,3247	[Heat Setting, Bleaching]	"[[""Recycled Cotton"",50],[""Organic Cotton"",50]]"	[Lab Coats]	[bluesign Approved, CmiA (Cotton made in Africa)]		https://example.com/demo-image.jpg
000030	Merino Wool Gloves	Loom & Leaf Co.	United Kingdom	Supplier	Loom & Leaf Co. Facility 4	United Kingdom	57,0958	15,99	[Dyeing]	"[[""Wool"",34],[""Organic Cotton"",33],[""Polypropylene"",33]]"	[Camisoles]	[BCI (Better Cotton Initiative), RCS (Recycled Claim Standard)]		https://example.com/demo-image.jpg
000031	Eco Friendly Yoga Pants	Summit Mills	Sweden	Supplier	Summit Mills Facility 2	Sweden	50,7404	24,107	[Washing / Scouring]	"[[""Polyurethane"",34],[""Silk"",33],[""Ramie"",33]]"	[Velvet]	[GRS (Global Recycled Standard), OEKO-TEX Made in Green]		https://example.com/demo-image.jpg
000032	Bamboo Rayon Dress	EcoThreads	Spain	Supplier	EcoThreads Facility 3	Spain	38,7094	9,5543	[Cutting, Printing]	"[[""Silk"",34],[""Polyurethane"",33],[""Polypropylene"",33]]"	[Footwear]	[GOTS (Global Organic Textile Standard)]		https://example.com/demo-image.jpg
000033	Handmade Quilted Blanket	GreenSpun Fabrics	Netherlands	Supplier	GreenSpun Fabrics Facility 1	Netherlands	53,5321	19,9797	[Washing / Scouring, Fiber Preparation, Weaving]	"[[""Merino Wool"",100]]"	[Workwear]	[GOTS (Global Organic Textile Standard), GRS (Global Recycled Standard), EU Ecolabel for Textiles]		https://example.com/demo-image.jpg
000034	Organic Cotton Towel Set	Summit Mills	Sweden	Supplier	Summit Mills Facility 4	Sweden	46,0255	-1,3766	[Finishing, Twisting & Winding, Washing / Scouring, Knitting]	"[[""Tussah Silk"",34],[""Bamboo Fiber"",33],[""Wool"",33]]"	[Apparel]	[RDS (Responsible Down Standard), BCI (Better Cotton Initiative)]		https://example.com/demo-image.jpg
000035	Natural Dye Scarf Wrap	WeaveWorks	United States	Supplier	WeaveWorks Facility 1	United States	57,8581	24,3338	[Mercerization, Weaving]	"[[""Acrylic"",100]]"	[Caps]	[RDS (Responsible Down Standard)]		https://example.com/demo-image.jpg
000036	Soft Brushed Fleece Jacket	GreenSpun Fabrics	Netherlands	Supplier	GreenSpun Fabrics Facility 2	Netherlands	50,7905	29,0179	[Nonwoven Formation, Warping, Printing, Knitting]	"[[""Nylon"",34],[""Viscose"",33],[""Lyocell (TENCEL)"",33]]"	[Trousers]	[CmiA (Cotton made in Africa), bluesign Approved, RCS (Recycled Claim Standard)]		https://example.com/demo-image.jpg
000037	Recycled Polyester Tote Bag	Loom & Leaf Co.	United Kingdom	Supplier	Loom & Leaf Co. Facility 2	United Kingdom	57,7014	15,0913	[Brushing / Raising, Nonwoven Formation, Stitching / Sewing, Warping]	"[[""Hemp"",50],[""Ramie"",50]]"	[Stretch Belts]	[BCI (Better Cotton Initiative), bluesign Approved]		https://example.com/demo-image.jpg
000038	Merino Wool Socks	Heritage Textiles	Italy	Supplier	Heritage Textiles Facility 1	Italy	54,2265	24,7713	[Combing]	"[[""Acrylic"",34],[""Viscose"",33],[""Wool"",33]]"	[Tote Bags]	[Fairtrade Cotton]		https://example.com/demo-image.jpg
000039	Eco Friendly Market Bag	Urban Stitch	Canada	Supplier	Urban Stitch Facility 1	Canada	54,602	-6,8735	[Brushing / Raising, Nonwoven Formation]	"[[""Jute"",34],[""Cotton"",33],[""Cupro"",33]]"	[Cycling Jerseys]	[bluesign Approved, OEKO-TEX Standard 100, Higg Product Module (Higg MSI)]		https://example.com/demo-image.jpg
000040	Bamboo Rayon Kimono	Loom & Leaf Co.	United Kingdom	Supplier	Loom & Leaf Co. Facility 1	United Kingdom	39,4716	23,6831	[Stitching / Sewing, Heat Setting, Washing / Scouring, Brushing / Raising]	"[[""Hemp"",34],[""Bamboo Fiber"",33],[""Polypropylene"",33]]"	[Rainwear]	[GRS (Global Recycled Standard), RCS (Recycled Claim Standard), OEKO-TEX Made in Green]		https://example.com/demo-image.jpg
000041	Handloomed Linen Tablecloth	Skyline Weavers	Germany	Supplier	Skyline Weavers Facility 1	Germany	49,0419	-3,9234	[Warping, Spinning, Carding]	"[[""Silk"",50],[""Hemp"",50]]"	[Modal]	[CmiA (Cotton made in Africa), OEKO-TEX Standard 100, RDS (Responsible Down Standard)]		https://example.com/demo-image.jpg
000042	Organic Cotton Bedding Set	EcoThreads	Spain	Supplier	EcoThreads Facility 4	Spain	36,253	28,2532	[Dyeing]	"[[""Merino Wool"",34],[""Hemp"",33],[""Tussah Silk"",33]]"	[Windbreakers]	[RAS (Responsible Alpaca Standard), EU Ecolabel for Textiles, RDS (Responsible Down Standard)]		https://example.com/demo-image.jpg
000043	Natural Fiber Basket	Mariner Textiles	Portugal	Supplier	Mariner Textiles Facility 2	Portugal	37,4218	6,3247	[Heat Setting, Bleaching]	"[[""Polyester"",100]]"	[Baby Sleepwear]	[OEKO-TEX Made in Green]		https://example.com/demo-image.jpg
000044	Silk Blend Robe	GreenSpun Fabrics	Netherlands	Supplier	GreenSpun Fabrics Facility 3	Netherlands	46,1452	15,1115	[Dyeing]	"[[""Jute"",50],[""Polyurethane"",50]]"	[Sports Bras]	[bluesign Approved, GOTS (Global Organic Textile Standard), OCS (Organic Content Standard)]		https://example.com/demo-image.jpg
000045	Faux Leather Jacket	Loom & Leaf Co.	United Kingdom	Supplier	Loom & Leaf Co. Facility 3	United Kingdom	41,1633	6,9818	[Heat Setting, Bleaching]	"[[""Wool"",50],[""Polyester"",50]]"	[Corduroy]	[Fairtrade Textile Standard, GRS (Global Recycled Standard)]		https://example.com/demo-image.jpg
000046	Recycled Denim Tote Bag	Urban Stitch	Canada	Supplier	Urban Stitch Facility 2	Canada	55,9318	11,5176	[Weaving]	"[[""Mohair"",50],[""Jute"",50]]"	[Cycling Jerseys]	[GRS (Global Recycled Standard), OEKO-TEX STeP]		https://example.com/demo-image.jpg
000047	Merino Wool Beanie	EcoThreads	Spain	Supplier	EcoThreads Facility 1	Spain	37,1789	29,2145	[Brushing / Raising, Stitching / Sewing]	"[[""Leather"",34],[""Polypropylene"",33],[""Jute"",33]]"	[Faux Leather]	[GRS (Global Recycled Standard), OCS (Organic Content Standard)]		https://example.com/demo-image.jpg
000048	Eco Friendly Yoga Mat Bag	Heritage Textiles	Italy	Supplier	Heritage Textiles Facility 1	Italy	54,2265	24,7713	[Combing]	"[[""Organic Cotton"",50],[""Linen (Flax)"",50]]"	[Gilets]	[RCS (Recycled Claim Standard)]		https://example.com/demo-image.jpg
000049	Bamboo Rayon Scarf	Loom & Leaf Co.	United Kingdom	Supplier	Loom & Leaf Co. Facility 4	United Kingdom	57,0958	15,99	[Dyeing]	"[[""Leather"",34],[""Cashmere"",33],[""Acetate"",33]]"	[Merino]	[RAS (Responsible Alpaca Standard)]		https://example.com/demo-image.jpg
000050	Handmade Quilted Wall Hanging	WeaveWorks	United States	Supplier	WeaveWorks Facility 2	United States	39,6236	8,334	[Cutting, Carding]	"[[""Bamboo Fiber"",50],[""Cotton"",50]]"	[Compression Tops]	[GOTS (Global Organic Textile Standard), RCS (Recycled Claim Standard), CmiA (Cotton made in Africa)]		https://example.com/demo-image.jpg
000051	Organic Cotton Sheets Set	EcoThreads	Spain	Supplier	EcoThreads Facility 1	Spain	37,1789	29,2145	[Brushing / Raising, Stitching / Sewing]	"[[""Elastane (Spandex)"",100]]"	[Kids Shorts]	[OEKO-TEX Made in Green, bluesign Approved, Nordic Swan Ecolabel]		https://example.com/demo-image.jpg
000052	Natural Dye Pillowcase	Summit Mills	Sweden	Supplier	Summit Mills Facility 3	Sweden	47,8322	7,145	[Dyeing, Nonwoven Formation, Knitting, Mercerization]	"[[""Merino Wool"",50],[""Alpaca"",50]]"	[Hipsters]	[RCS (Recycled Claim Standard)]		https://example.com/demo-image.jpg
