Certification Body	Certified Organization Name	TE ID	Retired TE ID	License Number	Native Name	Country/Area	SC Number	SC Version Number	Standard	SC Status	Last Updated Date
APCER	ESTAMPARIA MENDES, LDA.	TE-00015476		15476		Portugal	APC- 00015476-OCS-001	APC- 00015476-OCS-001	OCS	Valid	2025-02-06
APCER	ESTAMPARIA MENDES, LDA.	TE-00015476		15476		Portugal	APC- 00015476-RCS-001	APC- 00015476-RCS-001	RCS	Valid	2025-01-19
APCER	Rosacel Texteis Unipessoal Lda	TE-00008223		TE-00008223		Portugal	APC-00008223-OCS-001	APC-00008223-OCS-001	OCS	Valid	2025-10-09
APCER	ESTAMPARIA RALOPE, S.A.	TE-00009652		TE-00009652		Portugal	APC-00009652-OCS-003	APC-00009652-OCS-003	OCS	Valid	2025-11-18
APCER	ESTAMPARIA RALOPE, S.A.	TE-00009652		TE-00009652		Portugal	APC-00009652-RCS-003	APC-00009652-RCS-003	RCS	Valid	2025-11-18
APCER	FAFEDRY – DYEING AND FINISHING SOLUTIONS, LDA.	TE-00024220		1023843		Portugal	APC-00024220-GRS-002	APC-00024220-GRS-002	GRS	Valid	2024-12-10
APCER	FAFEDRY – DYEING AND FINISHING SOLUTIONS, LDA.	TE-00024220		1023843		Portugal	APC-00024220-OCS-002	APC-00024220-OCS-002-V1	OCS	Valid	2025-05-20
APCER	Carcemal Malhas e Confeccoes, Lda	TE-00043682		TE-00043682		Portugal	APC-00043682-OCS-001	APC-00043682-OCS-001	OCS	Valid	2025-10-22
APCER	Jactigas - Comércio de Texteis, Unipessoal Lda.	TE-00045388		TE-00045388		Portugal	APC-00045388-MUL-001	APC-00045388-MUL-001	GRS,OCS	Valid	2025-07-31
APCER	Lisamodel - Acessorios Texteis Unipessoal Lda	TE-00052790		TE-00052790		Portugal	APC-00052790-GRS-001	APC-00052790-GRS-001	GRS	Valid	2025-02-04
APCER	Seeds Concept, S.A	TE-00057207		TE-00057207		Portugal	APC-00057207-GRS-001	APC-00057207-GRS-001	GRS	Valid	2025-05-20
APCER	LOUSACONDE, LDA.	TE-00121581		TE-00121581		Portugal	APC-00121581-OCS-002	APC-00121581-OCS-002	OCS	Valid	2025-07-30
APCER	LOUSACONDE, LDA.	TE-00121581		TE-00121581		Portugal	APC-00121581-RCS-002	APC-00121581-RCS-002	RCS	Valid	2025-07-30
APCER	RISTÊXTEIS, UNIPESSOAL, LDA	TE-00134734		TE-00134734		Portugal	APC-00134734-OCS-001	APC-00134734-OCS-001	OCS	Valid	2025-02-12
APCER	Padrao Xadrez Texteis Unip., Lda	TE-00303204		TE-00303204		Portugal	APC-00303204-RCS-001	APC-00303204-RCS-001-V2	RCS	Valid	2025-11-24
ASCP	Henan Luyu cultural creative Co., Ltd	TE-00000138		TE-00000138		China	ASC-00000138-GRS-2025-00043400	ASC-00000138-GRS-2025-00043400	GRS	Valid	2025-09-28
ASCP	Qingdao Nice Fashion Trading CO., LTD	TE-00000535		TE-00000535		China	ASC-00000535-GRS-2025-00034100	ASC-00000535-GRS-2025-00034101	GRS	Valid	2025-09-28
ASCP	Weifang Changhao Textile Co., Ltd.	TE-00002606		TE-00002606		China	ASC-00002606-RAF-2025-00041300	ASC-00002606-RAF-2025-00041300	RWS	Valid	2025-08-19
ASCP	Jinan Haoxin Industry Co., Ltd.	TE-00003753		TE-00003753		China	ASC-00003753-GRS-2025-00027700	ASC-00003753-GRS-2025-00027700	GRS	Valid	2025-03-07
ASCP	CANGNAN MR. ROPE PET TOYS CO., LTD.	TE-00006923		TE-00006923		China	ASC-00006923-GRS-2025-00043800	ASC-00006923-GRS-2025-00043800	GRS	Valid	2025-09-12
ASCP	DONGGUAN SHENGYANG ELECTRONICS CO., LTD.	TE-00007227		TE-00007227		China	ASC-00007227-GRS-2025-00037500	ASC-00007227-GRS-2025-00037500	GRS	Valid	2025-07-11
ASCP	Dongguan Hengwang Shoe Company Limited	TE-00007422		TE-00007422		China	ASC-00007422-GRS-2025-00029700	ASC-00007422-GRS-2025-00029700	GRS	Valid	2025-03-26
