PC0001	Men's apparel
PC0002	Women's apparel
PC0003	Babies' apparel
PC0004	Children's apparel
PC0005	Unisex apparel
PC0006	Men's denim apparel
PC0007	Women's denim apparel
PC0008	Children's denim apparel
PC0009	Unisex denim apparel
PC0010	Home textiles
PC0011	Carried accessories
PC0012	Worn accessories
PC0013	Personal care, hygiene
PC0014	Medical
PC0015	Bedding
PC0016	Footwear
PC0017	Functional accessories
PC0018	Outdoor
PC0019	Industrial, technical
PC0020	Filling, stuffing
PC0021	Paper products
PC0022	Hard goods
PC0023	Packaging
PC0024	Toys
PC0025	Dyed fabrics
PC0026	Greige fabrics
PC0027	Undyed fabrics
PC0028	Fabrics
PC0029	Dyed yarns
PC0030	Greige yarns
PC0031	Undyed yarns
PC0032	Tops
PC0033	Dyed fibers
PC0034	Undyed fibers
PC0035	Processed post-consumer materials
PC0036	Unprocessed post-consumer fibers/materials
PC0037	Reclaimed post-consumer materials
PC0038	Other
PC0039	Printed fabrics
PC0040	Reclaimed pre-consumer materials
PC0041	Processed pre-consumer materials
PC0042	Unprocessed pre-consumer fibers/materials
