Facility	Product_Category_Desc	Product_Category_Code	Product_Detail_Desc	Product_Detail_Code	Raw_Material_Description	Raw_Material_Code	Raw_Material_Percentage
A Dream of Kind Garment Factory Company Limited	Babies' apparel	PC0003	Babies' clothing	PD0013	Cotton -  Recycled Post-Consumer	RM0107	22.00
Suzhou Yixiang Textile Co., Ltd.苏州市奕翔纺织有限公司	Fabrics	PC0028	Special fabrics	PD0063	Other - Non Certified	RM0262	5.0
Suzhou Xinsheng Textile Technology Co., Ltd	Fabrics	PC0028	Special fabrics	PD0063	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Xinsheng Textile Technology Co., Ltd	Greige yarns	PC0030	Filament	PD0069	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Xinsheng Textile Technology Co., Ltd	Printed fabrics	PC0039	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	10
Suzhou Xinsheng Textile Technology Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	10.0
Suzhou Xinsheng Textile Technology Co., Ltd.	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.0
Suzhou Xinsheng Textile Technology Co., Ltd.	Printed fabrics	PC0039	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	10.0
Suzhou Xinsimeng Textile Co., Ltd	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	0
SUZHOU YINGXING TEXTILE CO., LTD	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Yingyi Textile Co., Ltd.	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.0
Suzhou Yingyi Textile Co., Ltd. 苏州市英依纺织有限公司	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.0
Suzhou Yingyi Textile Technolegy Co.,Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.00
Suzhou Yingyu Textile Science&Technology Co.,Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Cotton - Non Certified	RM0102	70
Suzhou Yingyu Textile Science&Technology Co.,Ltd.	Greige yarns	PC0030	Carded yarns	PD0067	Elastane (spandex) - Non Certified	RM0160	5.00
Suzhou Yingyu Textile Science & Technology Co., Ltd. 苏州盈宇纺织科技有限公司	Dyed fabrics	PC0025	Woven fabrics	PD0059	Acetate - Non Certified	RM0218	17.0
Suzhou Yingyu Textile Science & Technology Co., Ltd. 苏州盈宇纺织科技有限公司	Greige yarns	PC0030	Carded yarns	PD0067	Elastane (spandex) - Non Certified	RM0160	5.0
Suzhou Yingzhu Chemical Fiber Co., Ltd	Dyed yarns	PC0029	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Yinong Textile Co.,Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.00
Suzhou Yintai Textile Technology Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Acrylic - Non Certified	RM0156	28
Suzhou Yintai Textile Technology Co., Ltd.	Dyed yarns	PC0029	Carded yarns	PD0067	Acrylic - Non Certified	RM0156	39
Suzhou Yintai Textile Technology Co., Ltd.	Greige yarns	PC0030	Carded yarns	PD0067	Acrylic - Non Certified	RM0156	39
Suzhou Yintai Textile Technology Co., Ltd.	Women's apparel	PC0002	Pants, trousers	PD0003	Elastane (spandex) - Non Certified	RM0160	3.00
Suzhou Yinxiangli Textile Co., Ltd.	Greige yarns	PC0030	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	100.00
Suzhou Yinxiangli Textile Co., Ltd. 苏州引响力纺织有限公司	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100.0
Suzhou Yipai Textile Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Yixiang Recycled Textile Technology Co., Ltd. 苏州宜翔再生纺织科技有限公司	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	10.0
Fujian Unitex Technology Co., Ltd. 福建宇邦纺织科技有限公司	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) -  Recycled Pre-Consumer	RM0162	21.0
Suzhou Yipengrun Technology Co., Ltd.	Printed fabrics	PC0039	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Xinsheng Textile Technology Co., Ltd	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	8
Suzhou Xinsanyi Textile Technology Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton - Non Certified	RM0102	0
Suzhou Xinsaisheng Textile Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Xinjunhe Textile Co., Ltd. 苏州市鑫君合纺织有限公司	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	12.0
Fuzhou Xinghui Textile Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	12.0
Fuzhou Xinghui Textile Co., Ltd	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Xinhai New Material Co., LTD	Processed post-consumer materials	PC0035	Chips (pellets)	PD0085	Polyester -  Recycled Post-Consumer	RM0189	100
SUZHOU XINHAISHENGTIAN TEXTILE AFTER TREATMENT CO., LTD.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	0
SUZHOU XINHAISHENGTIAN TEXTILE AFTER TREATMENT CO., LTD.	Fabrics	PC0028	Special fabrics	PD0063	Other - Non Certified	RM0262	20
SUZHOU XINHAISHENGTIAN TEXTILE AFTER TREATMENT CO., LTD.	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100
SUZHOU XINHAISHENGTIAN TEXTILE AFTER TREATMENT CO., LTD.	Printed fabrics	PC0039	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	0
FUJIAN XINLONG KNITTING CO., LTD.	Greige yarns	PC0030	Filament	PD0069	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
FUJIAN XINLONG KNITTING CO., LTD.	Fabrics	PC0028	Special fabrics	PD0063	Elastane (spandex) - Non Certified	RM0160	10
Suzhou xinhongxuan Textile Technology Co., Ltd	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	12
Suzhou xinhongxuan Textile Technology Co., Ltd	Greige yarns	PC0030	Filament	PD0069	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Xinjiang Textile Imp.&Exp. Co.,Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	3.00
Suzhou Xinlihe Textile Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Xinqiyuan International Textile Co., Ltd.	Tops	PC0032	Tops	PD0073	Alpaca -  Responsible	RM0007	100
Suzhou Xinlongsheng Textile Co. LTD	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Xinmei Era Fiber Technology Co., Ltd	Dyed fibers	PC0033	Staple fibers	PD0079	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Xinmei Era Fiber Technology Co., Ltd	Processed post-consumer materials	PC0035	Chips (pellets)	PD0085	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Xinmeiya Packaging Products Co., Ltd.	Packaging	PC0023	Other	PD0100	Polyethylene terephthalate (PET) -  Recycled Post-Consumer	RM0197	0
Suzhou Xinmeiya Textile Co., Ltd.	Greige fabrics	PC0026	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Xinmin Dyeing Co., Ltd.	Fabrics	PC0028	Special fabrics	PD0063	Cotton - Non Certified	RM0102	8
Suzhou Xinmin Dyeing Co., Ltd.	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	45
Suzhou Xinnian Textile Co., Ltd	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
SUZHOU XINPAIQI TEXTILE TECHNOLOGY CO., LTD	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	0
Suzhou Xinqi Textile Co., Ltd	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Xinqipu New Materials Technology Co., Ltd.	Functional accessories	PC0017	Other	PD0100	Other -  Recycledpre-consumer	RM0266	0
Suzhou Xinqiyuan International Textile Co., Ltd.	Greige yarns	PC0030	Carded yarns	PD0067	Alpaca -  Responsible	RM0007	100
Suzhou Yixiang Textile Co., Ltd.苏州市奕翔纺织有限公司	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100.0
Suzhou Yixiang Textile Co., Ltd.苏州市奕翔纺织有限公司	Greige fabrics	PC0026	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	11.0
Suzhou Xinhai New Material Co., LTD	Greige yarns	PC0030	Carded yarns	PD0067	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Yixiang Textile Co., Ltd.苏州市奕翔纺织有限公司	Greige yarns	PC0030	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	100.0
FUJIAN SUIFU TEXTILE Co., Ltd	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton -  Recycled Post-Consumer	RM0107	30
Suzhou Younghua Textile Co., Ltd.	Greige fabrics	PC0026	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	10
FUJIAN SUIFU TEXTILE Co., Ltd	Children's apparel	PC0004	T-shirts, singlets	PD0007	Cotton - Organic	RM0104	0
Suzhou Ylishili Textile Garment Export & Import Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Youyi Textile Technology Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.00
SUZHOU YOUYUE TEXTILES TECHNOLOGY., LTD	Dyed fabrics	PC0025	Woven fabrics	PD0059	Cotton - Organic	RM0104	100
Suzhou Youzhiyan Textile Technology Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Fujian SBS Zipper Science & Technology Co., Ltd.	Functional accessories	PC0017	Zippers	PD0037	Polyester -  Recycled Post-Consumer	RM0189	64.00
Suzhou Yongjin Textile Co.,Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Yongshang Textile Technology Co.,Ltd	Greige fabrics	PC0026	Woven fabrics	PD0059	Flax (linen) - Non Certified	RM0108	4
Suzhou Yongyuan Textile Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Yoruda Textile Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton -  Recycled Pre-Consumer	RM0106	35.0
Suzhou YOTO Industrial Co., Ltd.	Functional accessories	PC0017	Other	PD0100	Other -  Recycled Post-Consumer	RM0267	100
Suzhou YOTO Industrial Co.,Ltd.	Functional accessories	PC0017	Other	PD0100	Other -  Recycled Post-Consumer	RM0267	100
SUZHOU YOUBEIT TEXTILE CO., LTD.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Youchengjia Textile Technology Co., LTD	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
FUJIAN RUIXIN SYNTHETIC LEATHER CO., LTD.	Fabrics	PC0028	Other	PD0100	Elastane (spandex) - Non Certified	RM0160	5.0
Suzhou Youdao Textile Co.LTD.	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Youenfang Textile  Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100
Fujian Province Shengwei Spin Technology Co., Ltd.	Functional accessories	PC0017	Trimmings	PD0039	Polyester -  Recycled Post-Consumer	RM0189	100.0
Suzhou Youenfang Textile Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100
SUZHOU YOUFU TEXTILES CO., LTD	Dyed fabrics	PC0025	Woven fabrics	PD0059	Cotton - Non Certified	RM0102	50
Suzhou Youjian Environmental Protection Technology Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	10.0
Suzhou Youjian Environmental Protection Technology Co., Ltd.	Fabrics	PC0028	Special fabrics	PD0063	Other - Non Certified	RM0262	15.0
Suzhou Youjian Environmental Protection Technology Co., Ltd.	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.0
Suzhou Youjun Textile Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Younghua Textile Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
FUJIAN SUIFU TEXTILE Co., Ltd	Men's apparel	PC0001	T-shirts, singlets	PD0007	Cotton - Organic	RM0104	0
FUJIAN SUIFU TEXTILE Co., Ltd	Women's apparel	PC0002	Sweaters, pullovers, cardigans	PD0004	Cotton - Organic	RM0104	70.0
Suzhou Yixing Weaving Co.,Ltd.	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyester - Non Certified	RM0186	55.0
Suzhou Yiqisheng Knitting Textile Co., Ltd. 苏州益祺晟针纺织有限公司	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	8.0
Suzhou Yiruida Trading Company Ltd.	Packaging	PC0023	Packing sacks, bags	PD0055	Polyethylene -  Recycled Post-Consumer	RM0193	100
SUZHOU YITENG GARMENT CO., LTD	Babies' apparel	PC0003	Babies' clothing	PD0013	Polyester -  Recycled Post-Consumer	RM0189	99
SUZHOU YITENG GARMENT CO., LTD	Children's apparel	PC0004	Undergarment, sleepwear, robes	PD0006	Polyester -  Recycled Post-Consumer	RM0189	30
Suzhou Yizhiyuan New Material Company Limited	Dyed yarns	PC0029	Normally combed yarns 	PD0102	Wool -  Responsible	RM0083	100.0
Fujian Tianheng Textile Technology Co., Ltd.	Greige yarns	PC0030	Carded yarns	PD0067	Cotton - Organic	RM0104	48.00
Suzhou Yiwei Chemical Fiber Technology Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Yixiang Recycled Textile Technology Co.,Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.00
SUZHOU YNT I/E CO.,LTD	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	0
Fujian Tianheng Textile Technology Co., Ltd.	Greige fabrics	PC0026	Woven fabrics	PD0059	Cotton - Non Certified	RM0102	30.0
Suzhou Yongdexing Trading Co., Ltd	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Yixin Textile Co., Ltd	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100
SUZHOU YONGTAO TEXTILE CO., LTD	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Fujian Taifan Industrial Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton - Non Certified	RM0102	0
SUZHOU YIYAN TEXTILE CO., LTD.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100.00
SUZHOU YIYAN TEXTILE CO., LTD. 苏州亿延纺织有限公司	Dyed fabrics	PC0025	Woven fabrics	PD0059	Cotton - Non Certified	RM0102	73.0
SUZHOU YIYAN TEXTILE CO.,LTD.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100.00
